,Tweets
125,"jihadwatchRS: Say, elonmusk, what ever happened to your promise to free the banned accounts that had not engaged in criminal activity?…"
126,"SteveHiltonx catturd2 elonmusk Frederick Douglass, one of America’s greatest men in history, in 1860- “To suppress free speech is a double wrong. It violates the rights of the hearer as well as those of the speaker.”"
127,elonmusk Knocking down liberals and exposing the truth. I like it Elon!
128,"FbBookman Kingdomscrap1 elonmusk It’s because Twitter is an ANTI FREEDMEN RACIST/WIGHT DEGENERATE PLATFORM! It’s best we have our own FREEDMEN CONSCIOUS OWNED social media platform

That way we can talk about our issues and organize with other like minded Freedmen to solve them Soxcial FreedmenFIRST ✊🏿"
129,JudicialWatch TomFitton elonmusk Why would Biden know in advance? It about death of animals
130,"rachael_levy elonmusk neuralink Just to be clear, this is an important product. Punish the company appropriately but let’s not kill the baby when the bathwater is decontaminated."
131,"JoshuaB42069 JoshuaPHilll elonmusk Just delete this tweet, Joshua.  It is evident you sit on your brains."
132,elonmusk how come I keep getting female dropkicks of the dropkick variety trying to add me to their dropkick conversations. You need to sack everyone who studied marketing and got a dropkick qualification in being a professional dropkick.
133,elonmusk RubinReport Thank goodness. no one else seemed to be bringing this up so I thought it was just me lol
134,Carpecynthia dawa_lion MotherOfCats007 SohailVibes elonmusk You are incorrect. Biotechnology and genetic engineering R&amp;D was my father's area of expertise. He founded his company in 1980s. I remember him speaking of mRNA and nanotechnology. He told us before C19 shots rolled out. DON'T take the shots. Not safe !
135,EsquireErrant kangaro0_ elonmusk karpathy There's your answer. We won't need to compete anymore.
136,"ByrneDrdbyrne SteveHiltonx elonmusk Well maybe someday they’ll be all cracked out and drop their laptops off, only to forget them, then you’ll get your chance."
137,ThierryBreton elonmusk People with nothing to hide do not hide….
138,UtilityTheory: Are you kidding me? They will look into elonmusk’s product that will change lives instead of SBF_FTX? Him and Alameda…
139,"RGVaerialphotos elonmusk TOBI ONE - Blackout!
Let be light!



For the Armed Forces of Ukraine."
140,elonmusk I absolutely love you!!
141,"CryptoBusy: 6/7

elonmusk then founded SpaceX in 2002, however has dealt with multiple launch failures and explosions.

Tesla was also failing hard and at the brink of bankruptcy before it became profitable!"
142,elonmusk elonmusk BRING BACK VINE!
143,"elonmusk Elon What say ye?
KashsCorner 
"
144,okaara_patty MrG12ASMR TechNinja150 JoshuaB42069 JoshuaPHilll elonmusk Ive never seen a new janitor at my work in 3 years. Its probably company by company basis.
145,elonmusk is the new realDonaldTrump when it comes to US gov't agency harassment...
146,ZaleskiLuke elonmusk If it turns out to be true about the bidens why is this a bad thing. You not wanting it out there because he's a Democrat makes it bias
147,"AnantSinghMann elonmusk WholeMarsBlog VW (Volkswagen) is the cheap brand-name in Germany, and that why more people driving it in Germany because there can not afford better one.  But the quality is not the greatest. 
I remember a dealer asked me if I'm interested in a VW me NO thanks. When I was looking for a car."
148,This true elonmusk ? 
149,JoshuaB42069 JoshuaPHilll elonmusk TRY SHUTTING THE FUCK UP MORE AND BUZZ OFF WHILE YOUR AT IT...
150,JudicialWatch TomFitton elonmusk He knows what he is up against.  He thought about and has planned for such actions before he ever ventured into this “buy”…..This is not his first rodeo
151,"elonmusk I strongly request you to look into 'followers' policy. I always get message 'you cannot follow more person at this time'. I only want to follow back to the handles, which follows me, if found suitable to me. I fail to undestand why this stopper."
152,"CryptoBusy: 2/7

And the art of successfully failing will definitely turn into success if you won't give up and keep believing in yourself and your ideas.

Over the years here are elonmusk list of failures, and why it's okay to fail: 👇"
153,Belinda71555585 Saying it now... Twitter didn't kill itelf. elonmusk
154,"CryptoBusy: Twitter elonmusk 1/7

We can agree that people have mixed reactions to Elon Musk's Twitter takeover, but we can't deny the fact that he's one of the most successful business minded people.

He failed, and succeeded.

An elonmusk Twitter thread.
🧵👇"
155,francoboca MelinaDayan patrickcfenn1 mehdirhasan elonmusk MehdiHasanShow They’ll use ONLY 1 picture forever.  Haha
156,Im_half_awake jade_angelkiss elonmusk Hate filled liberal cultist.  You're canceled.
157,"DogeAccept fadequeen77 tearsintherain1 TheNewAnneFrank draganammilic1 PiaPanda96 Lionelclone1 Lucktriple07 KatTonic2 Jacob75719238 SpadersNFTs MrCurtisHi S3XYDOG3VAD3R PryZmRuleZZ xdianalandx agent_x23 CCuntamed musicphantom69 h_artsNcrafts SpaceCrystalZ YeshuaisSavior JessieR64351512 TeslaDarth gucci369r Manoj87187471 Kawaiistanley1 dogecoin elonmusk MichelleBezak kennethray25 dogedubowwow Twitter boringcompany Tesla neuralink SpaceX MyDogeTip Wolve tend to stay in packs and i like to think of humans as the same...The elder stay in the front of the pack in order to set the pace. The ""lone wolf"" you speak of stays at the back of the pack to fend of predators that the elder and young can't fight off..."
158,elonmusk  You are my hero. I am not entirely sure why. I do know that you are probably the last in my series of heros. So many before you have let me down. I have a good feeling about you. Thank you for giving me someone to believe in. Keep on 'Musking' !  musking
159,Chicago1Ray elonmusk They keep pushing the time out! ⏲️
160,"SharonDH59 AM_Pines CrystalHope1979 elonmusk Correct, but the 1st amendment is only violated if the suppressor is the government. Get it straight!!"
161,"Noizey_Man: Hey elonmusk 
Could your power system completely power something the size of like, a ship with electric engines,with waves…"
162,elonmusk seems like the kind of guy who would update his Twitter using a Nintendo 3DS just because nobody else does it.
163,sojourner1954 RubinReport elonmusk Maybe you’re just not worth advertising to.
164,"ThisIsKyleR elonmusk Selfish and egocentric, is everything always about you.."
165,"AlienSquidCoin: AlienSquid to the moooooon! 🚀🚀🚀🤩🤩🤩🔥🔥🔥👾👾👾👽👽👽

BSC BNB Binance BTC Bitcoin Ethereum ETH SHIB doge ElonMusk cr…"
166,"Never give orders to criminals. Not your fault.
EmmanuelMacron RishiSunak Bundeskanzler 
BillGates RoyalFamily mikepompeo intelnews aramco tim_cook elonmusk Isaac_Herzog USArmy MIT AP
netanyahu UN jack DonaldJTrumpJr IFlyP3 CIA VP IvankaTrump JohnsHopkins "
167,Just paid $145 after fees for a $100 ticket on Ticketmaster. Will you please add a ticketing feature to Twitter and save us elonmusk
168,elonmusk Elon u r doing such steller wirk yet those who would champion u can only put their $ n to “ put your money where your mouth is”  are shut out???  Do we need a new stock viehicle or million $ blocks?  Where is our avenue to help?????
169,elonmusk jasondebolt Elon divest yourself of the idea that there is a coordinated attack on you as a person and invest in the idea that your decisions are the direct reason for the attacks.  There was a time when you were celebrated by those same people.  This all boils down to recent decisions.
170,"elonmusk RubinReport I’ve never liked ADs or commercials. The products are never anything I need. And besides, I have no money to buy anything. So, I always think “why are they showing me this AD, I have no money and it’s irrelevant.”"
171,"AlienSquidCoin: Welcome to AlienSquid !!!

More infos soon!

Presale soon! 

Stay tuned! 😎💪

👾👾👾👽👽👽🚀🚀🚀

BNB BSC Binance ELONMUSK …"
172,whack187 FirstAnubis AdamPiersen DW_955 WendellHusebo elonmusk TomFitton AJDelgado13 look at my replies and the number of assertions by you and others about a creator. That had nothing to do with our laws by the way.
173,"anthonypesec FuturaeVitae JamesCunha12 elonmusk That ponzi schemer has made reuseable rockets, a constellation of internet satellites, viable electric vehicles that are now among the best in the world and is on a clear path to solving generalised autonomous driving. Why the jealousy?"
174,elonmusk Shut up nerd
175,colbyhall elonmusk mtaibbi Read your story on mediate. Are you a journalist or an opinion writer?? Biggest non story clickbait of the day.
176,"AlienSquidCoin: The Presale will be next week! 🤩

Presale details will be shared shortly! ✅️

AlienSquid BSC BNB Binance BinanceCh…"
177,"catturd2 elonmusk Slight correction - ""After what mirandadevine  and elonmusk revealed...""

Miranda showed the actual connection to the FBI, thus showing a violation of 1A by our government (in collusion with Twitter.)"
178,LenaEpstein elonmusk But the GOP did the same shit 🤡 like what???
179,"ProudElephantUS: In your opinion, how well has elonmusk done as the new Twitter CEO?"
180,MRiverlife holmanm elonmusk In recent years I’m more convinced than ever that most doctors just follow the same script.
181,"LayahHeilpern elonmusk Lots of right wing would love a Tesla, only problem is its cost and most trailer parks charge extra for electricity..lol"
182,"AlienSquidCoin: Welcome to AlienSquid !!!

More infos soon!

Presale soon! 

Stay tuned! 😎💪

👾👾👾👽👽👽🚀🚀🚀

BNB BSC Binance ELONMUSK …"
183,"AlienSquidCoin: Welcome to AlienSquid !!!

More infos soon!

Presale soon! 

Stay tuned! 😎💪

👾👾👾👽👽👽🚀🚀🚀

BNB BSC Binance ELONMUSK …"
184,"AlienSquidCoin: Welcome to AlienSquid !!!

More infos soon!

Presale soon! 

Stay tuned! 😎💪

👾👾👾👽👽👽🚀🚀🚀

BNB BSC Binance ELONMUSK …"
185,"AlienSquidCoin: Welcome to AlienSquid !!!

More infos soon!

Presale soon! 

Stay tuned! 😎💪

👾👾👾👽👽👽🚀🚀🚀

BNB BSC Binance ELONMUSK …"
186,elonmusk Is this Loss
187,"AlienSquidCoin: Welcome to AlienSquid !!!

More infos soon!

Presale soon! 

Stay tuned! 😎💪

👾👾👾👽👽👽🚀🚀🚀

BNB BSC Binance ELONMUSK …"
188,"AlienSquidCoin: Welcome to AlienSquid !!!

More infos soon!

Presale soon! 

Stay tuned! 😎💪

👾👾👾👽👽👽🚀🚀🚀

BNB BSC Binance ELONMUSK …"
189,LayahHeilpern elonmusk No weren’t. Just more performative nonsense.
190,"AlienSquidCoin: Welcome to AlienSquid !!!

More infos soon!

Presale soon! 

Stay tuned! 😎💪

👾👾👾👽👽👽🚀🚀🚀

BNB BSC Binance ELONMUSK …"
191,"ClayTravis Twitter elonmusk nytimes Nor will they.  Any coverage is an acknowledgment of a failure of due diligence on their part.  Or blatant, biased  partisanship. They’ll learn how to better cover their tracks for the next time."
192,"AlienSquidCoin: Welcome to AlienSquid !!!

More infos soon!

Presale soon! 

Stay tuned! 😎💪

👾👾👾👽👽👽🚀🚀🚀

BNB BSC Binance ELONMUSK …"
193,"AlienSquidCoin: AlienSquid to the moooooon! 🚀🚀🚀🤩🤩🤩🔥🔥🔥👾👾👾👽👽👽

BSC BNB Binance BTC Bitcoin Ethereum ETH SHIB doge ElonMusk cr…"
194,"AlienSquidCoin: Welcome to AlienSquid !!!

More infos soon!

Presale soon! 

Stay tuned! 😎💪

👾👾👾👽👽👽🚀🚀🚀

BNB BSC Binance ELONMUSK …"
195,"Euan_MacDonald It's not shadowbanning, it's stopping the army of bots who were spreading propaganda, insulting anyone who is not on their side. Good, they are gone, they should be. Thanks elonmusk"
196,"AlienSquidCoin: Welcome to AlienSquid !!!

More infos soon!

Presale soon! 

Stay tuned! 😎💪

👾👾👾👽👽👽🚀🚀🚀

BNB BSC Binance ELONMUSK …"
197,"AlienSquidCoin: Welcome to AlienSquid !!!

More infos soon!

Presale soon! 

Stay tuned! 😎💪

👾👾👾👽👽👽🚀🚀🚀

BNB BSC Binance ELONMUSK …"
198,jordanbpeterson elonmusk They really need to update the report function.
199,TehGoldenHearts: lopezlinette elonmusk Don’t forget Blackrockneurotech (Neuralink’s competitor): 32 ppl worldwide have a Blackrock’s…
200,1bigJawBone I do not understand why Twitter shuts you down by following people back? elonmusk
201,ColeTrickle____ elonmusk Richard Cranium
202,alx elonmusk wikileaks When is it going to be released ?
203,JM007700 23SkidooSt SteveHiltonx elonmusk A chain of communication isn't a back door.  Obviously people have contacts.  Same goes when one of them wants to report something to fox or cnn or whatever.  They don't call the switchboard and ask for the news department.  They connect with the contacts they've had all along.
204,"AlienSquidCoin: AlienSquid to the moooooon! 🚀🚀🚀🤩🤩🤩🔥🔥🔥👾👾👾👽👽👽

BSC BNB Binance BTC Bitcoin Ethereum ETH SHIB doge ElonMusk cr…"
205,"elonmusk elonmusk  , Im a 23 year old South African Indian, I'm not asking for much but if you ever see this tweet please quote me back RonaldoDoorsamy to know that you read my tweet it would mean the world to me to know I have engaged with you at some level much love from Durban♥️♥️♥️"
206,Apple Apple ads are back elonmusk
207,"AlienSquidCoin: The Presale will be next week! 🤩

Presale details will be shared shortly! ✅️

AlienSquid BSC BNB Binance BinanceCh…"
208,"AlienSquidCoin: The Presale will be next week! 🤩

Presale details will be shared shortly! ✅️

AlienSquid BSC BNB Binance BinanceCh…"
209,DocumentingBTC elonmusk $Ducker. That's the tweet.
210,kaitlancollins Trump didn’t say terminate the constitution. He said terminate portion in constitution dealing with election because 2020 election was fraudulent. elonmusk just proved democrats and the FBI interfered in the 2020 election. And 2016 with Clinton/Obama.
211,elonmusk have bots become humans and humans become bots? The hubris when journalist copy and paste on the same platform and think this is an original thought. 
212,"MichaelWaltrip1 QuispMe traxattack AngryFleas elonmusk How about Michigan 2020?

Not more votes than registered voters. "
213,JudicialWatch TomFitton elonmusk Seems like it’s Fox who is being sued by Dominion for political corruption. Fox is a corporation correct. Seems like they fit both categories.
214,AgnishwarJ: ravikarkara PBNS_India ianuragthakur AgriGoI garuda_india YASMinistry PIB_India G20_India narendramodi JM_Scindia…
215,"TheJamesLeary RogueProductio3 elonmusk There are two persons with blond hair… I know I know, the Japanese artist considered black people with dyed hair. Why would the Japanese artist draw black people to begin with? This picture is about the animals and the biblical context, the rest is your personal interpretation."
216,Nexus_oldbind bennyjohnson elonmusk alx 🤣🤣🤣. ThIs is nothing to do with Republicans. I support neither. But. This is all DEMOCRATS. DISGUSTING.
217,"2Sluggo2 lighthouse4519 itsccb ForeverEversley TimRunsHisMouth elonmusk hodgetwins micsolana I’m sorry, do you think the Democratic Party is run by the government?"
218,WokePandemic elonmusk Allah want to be faceless
219,"AlienSquidCoin: Ready??? Mission ""Moon"" starts soon!!! 🛸🛸🛸🌕🌕🌕👽👾

BNB BSC BSCGemsAlert Binance BTC Bitcoin ETH Ethereum Elonmus…"
220,zappingzebra raba6999 elonmusk It's debatable - I am banning you from my timeline
